week,order_counterbalance,alien_counterbalance,set_counterbalance,tr_num,ld_tr_num,block_tr_num,block,condition,name,type,neighbor,correct_response
1,1,2,2,128,50,15,2,low,gazzer,familiar,gammer,0
1,1,2,2,129,51,16,2,low,kulp,novel,kulv,1
1,1,2,2,130,52,17,2,high,heab,novel,heb,1
1,1,2,2,131,53,18,2,high,heab,familiar,heap,0
1,1,2,2,132,54,19,2,high,wilp,familiar,will,0
1,1,2,2,133,55,20,2,low,kulp,familiar,pulp,0
1,1,2,2,134,56,21,2,high,heab,novel,heam,1
1,1,2,2,135,57,22,2,high,darg,novel,darce,1
1,1,2,2,136,58,23,2,high,heab,familiar,heave,0
1,1,2,2,137,59,24,2,low,chev,novel,cheb,1
1,1,2,2,138,60,25,2,high,heab,familiar,heed,0
1,1,2,2,139,61,26,2,high,darg,novel,darp,1
1,1,2,2,140,62,27,2,low,chev,novel,cheth,1
1,1,2,2,141,63,28,2,high,wilp,familiar,wilt,0
1,1,2,2,142,64,29,2,low,kulp,novel,kalp,1
1,1,2,2,143,65,30,2,low,chev,familiar,chess,0
1,1,2,2,144,66,31,2,high,heab,novel,teab,1
1,1,2,2,145,67,32,2,low,gazzer,novel,gadder,1
1,1,2,2,146,68,33,2,low,chev,familiar,rev,0
1,1,2,2,147,69,34,2,high,heab,novel,heak,1
1,1,2,2,148,70,35,2,low,gazzer,familiar,gather,0
