week,order,set,tr_num,ld_tr_num,block_tr_num,block,condition,name,type,neighbor
1,1,1,145,67,32,2,high,koba,familiar,cola
1,1,1,146,68,33,2,low,modi,novel,sodi
1,1,1,147,69,34,2,high,pyzer,familiar,geyser
1,1,1,148,70,35,2,high,juss,familiar,fuss
2,1,2,79,1,1,1,high,heab,familiar,hob
2,1,2,80,2,2,1,low,gazzer,novel,tazzer
2,1,2,81,3,3,1,high,wilp,novel,wulp
2,1,2,82,4,4,1,low,chev,novel,chep
2,1,2,83,5,5,1,low,kulp,familiar,kelp
2,1,2,84,6,6,1,low,chev,familiar,chair
2,1,2,85,7,7,1,high,heab,novel,eab
2,1,2,86,8,8,1,low,kulp,novel,kuln
2,1,2,87,9,9,1,low,gazzer,familiar,geyser
2,1,2,88,10,10,1,high,heab,novel,heaf
2,1,2,89,11,11,1,low,gazzer,familiar,gaffer
2,1,2,90,12,12,1,low,kulp,novel,thulp
2,1,2,91,13,13,1,high,heab,novel,hoab
2,1,2,92,14,14,1,high,darg,novel,dar
2,1,2,93,15,15,1,high,heab,familiar,heal
2,1,2,94,16,16,1,low,chev,novel,ched
2,1,2,95,17,17,1,low,gazzer,novel,gabber
2,1,2,96,18,18,1,low,kulp,familiar,color
2,1,2,97,19,19,1,high,heab,familiar,herb
2,1,2,98,20,20,1,low,kulp,novel,kylp
2,1,2,99,21,21,1,low,kulp,familiar,cusp
2,1,2,100,22,22,1,low,gazzer,novel,gaker
2,1,2,101,23,23,1,low,kulp,familiar,gulp
2,1,2,102,24,24,1,high,darg,familiar,dart
2,1,2,103,25,25,1,high,wilp,familiar,willow
2,1,2,104,26,26,1,high,heab,novel,seeb
2,1,2,105,27,27,1,low,chev,novel,ev
2,1,2,106,28,28,1,high,darg,familiar,dark
2,1,2,107,29,29,1,high,heab,novel,hybe
2,1,2,108,30,30,1,high,heab,familiar,heath
2,1,2,109,31,31,1,low,kulp,novel,kump
2,1,2,110,32,32,1,high,wilp,familiar,wisp
2,1,2,111,33,33,1,low,chev,familiar,chive
2,1,2,112,34,34,1,high,heab,familiar,heat
2,1,2,113,35,35,1,high,wilp,novel,wilth
2,1,2,114,36,1,2,low,kulp,familiar,cull
2,1,2,115,37,2,2,high,darg,familiar,darn
2,1,2,116,38,3,2,low,kulp,novel,kulg
2,1,2,117,39,4,2,low,gazzer,familiar,lazar
2,1,2,118,40,5,2,high,wilp,novel,wilce
2,1,2,119,41,6,2,high,wilp,novel,willer
2,1,2,120,42,7,2,high,heab,familiar,hub
2,1,2,121,43,8,2,low,chev,familiar,check
2,1,2,122,44,9,2,low,kulp,familiar,cup
2,1,2,123,45,10,2,high,heab,novel,leeb
2,1,2,124,46,11,2,low,kulp,novel,zulp
2,1,2,125,47,12,2,low,kulp,familiar,cult
2,1,2,126,48,13,2,low,gazzer,novel,gazz
2,1,2,127,49,14,2,high,heab,familiar,he
2,1,2,128,50,15,2,low,gazzer,familiar,gammer
2,1,2,129,51,16,2,low,kulp,novel,kulv
2,1,2,130,52,17,2,high,heab,novel,heb
2,1,2,131,53,18,2,high,heab,familiar,heap
2,1,2,132,54,19,2,high,wilp,familiar,will
2,1,2,133,55,20,2,low,kulp,familiar,pulp
2,1,2,134,56,21,2,high,heab,novel,heam
2,1,2,135,57,22,2,high,darg,novel,darce
2,1,2,136,58,23,2,high,heab,familiar,heave
2,1,2,137,59,24,2,low,chev,novel,cheb
2,1,2,138,60,25,2,high,heab,familiar,heed
2,1,2,139,61,26,2,high,darg,novel,darp
2,1,2,140,62,27,2,low,chev,novel,cheth
2,1,2,141,63,28,2,high,wilp,familiar,wilt
2,1,2,142,64,29,2,low,kulp,novel,kalp
2,1,2,143,65,30,2,low,chev,familiar,chess
2,1,2,144,66,31,2,high,heab,novel,teab
2,1,2,145,67,32,2,low,gazzer,novel,gadder
2,1,2,146,68,33,2,low,chev,familiar,rev
2,1,2,147,69,34,2,high,heab,novel,heak
2,1,2,148,70,35,2,low,gazzer,familiar,gather
